Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
118,Quaternion,94,91,0.94,0.91
582,RandomAdaptor,70,60,0.7,0.6
583,RandomDataGenerator,84,64,0.84,0.64
584,RandomDataImpl,12,0,0.12,0
585,RandomGeneratorFactory,68,65,0.68,0.65
232,RandomKey,94,93,0.94,0.93
233,RandomKeyMutation,80,100,0.8,1
702,RandomPivotingStrategy,60,0,0.6,0
339,RealLinearOperator,33,0,0.33,0
340,RealMatrixFormat,90,73,0.9,0.73
341,RealVector,97,86,0.97,0.86
342,RealVectorFormat,89,77,0.89,0.77
343,RectangularCholeskyDecomposition,96,96,0.96,0.96
287,RegionFactory,96,70,0.96,0.7
668,RegressionResults,61,63,0.61,0.63
482,Relationship,92,50,0.92,0.5
560,Relationship,92,50,0.92,0.5
703,ResizableDoubleArray,92,75,0.92,0.75
111,RiddersSolver,88,64,0.88,0.64
41,Rint,100,0,1,0
57,RombergIntegrator,84,72,0.84,0.72
119,RootsOfUnity,83,81,0.83,0.81
254,Rotation,100,88,1,0.88
255,RotationOrder,100,100,1,1
338,RRQRDecomposition,98,68,0.98,0.68
449,RungeKuttaFieldIntegrator,99,87,0.99,0.87
450,RungeKuttaFieldStepInterpolator,100,100,1,1
451,RungeKuttaIntegrator,99,89,0.99,0.89
452,RungeKuttaStepInterpolator,96,87,0.96,0.87
294,S1Point,96,78,0.96,0.78
301,S2Point,98,74,0.98,0.74
155,SaddlePointExpansion,93,74,0.93,0.74
344,SchurTransformer,99,87,0.99,0.87
516,SearchInterval,86,82,0.86,0.82
112,SecantSolver,84,80,0.84,0.8
631,SecondMoment,87,86,0.87,0.86
256,Segment,100,100,1,1
268,Segment,84,88,0.84,0.88
632,SemiVariance,63,66,0.63,0.66
42,Sigmoid,98,96,0.98,0.96
43,Signum,100,0,1,0
473,SimpleBounds,100,100,1,1
528,SimpleBounds,100,100,1,1
197,SimpleCurveFitter,89,60,0.89,0.6
474,SimplePointChecker,100,88,1,0.88
529,SimplePointChecker,88,88,0.88,0.88
669,SimpleRegression,79,75,0.79,0.75
517,SimpleUnivariateValueChecker,100,85,1,0.85
566,SimpleUnivariateValueChecker,84,85,0.84,0.85
475,SimpleValueChecker,100,85,1,0.85
530,SimpleValueChecker,84,85,0.84,0.85
476,SimpleVectorValueChecker,100,88,1,0.88
531,SimpleVectorValueChecker,88,88,0.88,0.88
502,SimplexOptimizer,98,100,0.98,1
545,SimplexOptimizer,93,95,0.93,0.95
483,SimplexSolver,94,78,0.94,0.78
561,SimplexSolver,100,75,1,0.75
484,SimplexTableau,95,88,0.95,0.88
562,SimplexTableau,95,87,0.95,0.87
58,SimpsonIntegrator,76,54,0.76,0.54
44,Sin,100,100,1,1
45,Sinc,98,78,0.98,0.78
345,SingularValueDecomposition,99,85,0.99,0.85
46,Sinh,50,0,0.5,0
633,Skewness,95,81,0.95,0.81
